ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,phenotype,croptype,DroughtTol,ControlPixels,DroughtPixels,DifferenceInPixels,ControlArea,DroughtArea,DiffArea
Ab4-28,-0.373656,-0.359252,-0.44013,-0.0894282,0.193924,0.382916,0.438444,-0.0295137,-0.208238,-0.122631,0.0222328,0.0376694,0.0715688,0.0237036,0.00565972,-0.293668,Moderate,SemiWinter,Unknown,97674.5,42534.625,55139.875,79.45182637,34.59913939,44.85268698
Al1-29,0.276192,-0.116893,-0.0833082,0.1303,0.124507,0.0967937,-0.0301198,0.0302425,0.276014,0.245015,-0.212384,0.762167,-0.12106,-0.180804,0.01092,-0.223061,Insensitive,WinterOil,poor,70839.33333,36483.5,34355.83333,57.62317096,29.67694442,27.94622654
Av1-30,0.288181,-0.08923,-0.00649212,0.0405125,0.105338,0.0971779,-0.0145005,0.344536,0.00493755,0.175754,-0.439372,-0.262267,-0.0193116,0.64758,-0.0884292,-0.218067,Sensitive,WinterOil,Unknown,119868.5,36174.75,83693.75,97.50519582,29.42579646,68.07939937
Br2-31,0.285861,-0.0908,0.0728941,0.0090964,0.127326,-0.190056,0.154083,0.347571,-0.0621957,-0.405701,-0.283122,-0.256998,-0.0725292,-0.562859,0.125982,-0.234847,Sensitive,WinterOil,Unknown,116564.3333,47384.625,69179.70833,94.81747203,38.54429762,56.27317441
Ca4-32,0.0734329,-0.0122652,0.11274,-0.867534,-0.0458897,0.217389,-0.287488,-0.0102865,0.136251,-0.0478732,0.0762252,-0.00490502,-0.0789393,-0.0301029,0.002165,-0.251355,Moderate,WinterOil,poor,94354.25,50541.16667,43813.08333,76.75101985,41.1119381,35.63908175
DH12.6-33,-0.0407894,0.430996,-0.076896,0.213733,-0.15464,0.351198,-0.204688,0.0947074,-0.0996738,-0.152097,0.055541,0.0367785,-0.0627418,0.0863421,0.676727,-0.236657,Moderate,SpringOil,Unknown,105297.625,52673.75,52623.875,85.65274067,42.84665536,42.80608531
DH20,-0.0448425,0.466654,-0.0861464,0.144671,-0.166961,0.265597,-0.134581,0.0941333,-0.17334,-0.130865,-0.048728,0.036421,0.0251864,-0.150223,-0.702027,-0.244059,Moderate,SpringOil,Unknown,92272.5,53690.1,38582.4,75.05765218,43.6733897,31.38426248
Da2-44,0.216279,-0.0648495,-0.0148835,0.164669,0.0656287,0.210529,0.0398593,0.131999,0.182652,0.545046,0.508299,-0.37387,0.081178,-0.258802,-0.0110528,-0.227518,Moderate,WinterOil,Unknown,82231.125,30359.5,51871.625,66.88964945,24.69547039,42.19417906
Gr2-35,0.0870543,-0.0565823,0.268853,-0.0636994,-0.736127,-0.114141,0.502577,0.0227163,-0.105111,0.0866753,0.0521412,0.127651,0.00861712,0.0826723,0.0295268,-0.243957,Sensitive,SiberianKale,Unknown,108539.5,45363.125,63176.375,88.28979424,36.8999394,51.38985484
Mu4-37,0.250226,-0.0970338,-0.0447227,0.0364663,-0.0328485,-0.0734315,-0.196248,-0.351744,-0.106188,-0.0783888,-0.0938942,0.00702368,0.824558,-0.0073636,0.0568199,-0.215567,Insensitive,WinterOil,good,73006.25,40417.33333,32588.91667,59.38581614,32.8768609,26.50895524
Ne3-38,0.241765,-0.0866418,-0.0751885,0.108152,-0.0113428,-0.0272122,-0.080094,-0.697947,-0.227621,0.0461627,-0.106633,-0.212219,-0.50716,-0.0164932,-0.017128,-0.232706,Insensitive,WinterOil,good,84139.875,44252.5,39887.375,68.44229291,35.9965185,32.44577441
Qu1-39,-0.162272,0.311209,-0.077789,-0.199914,0.270788,-0.507484,0.0220131,0.11404,-0.484202,0.400745,0.0252422,0.12328,0.0133935,-0.0152249,0.0841888,-0.260888,Insensitive,SpringOil,Unknown,61696.375,30695.625,31000.75,50.18597151,24.96888612,25.21708538
Se2-40,-0.386846,-0.177237,0.769538,0.200081,0.247908,0.115133,-0.107371,-0.0621562,-0.0413485,-0.0182334,-0.0235078,0.0374822,0.010606,0.014913,-0.0299917,-0.302284,Insensitive,Swede,Unknown,51505,15890,35615,41.89595357,12.92547718,28.97047639
Yu1-42,-0.401011,-0.320318,-0.294177,0.139351,-0.357882,-0.339853,-0.457611,0.142782,0.231921,0.0234264,-0.0519779,-0.0936922,-0.0784824,-0.0376046,-0.0162175,-0.289138,Sensitive,SemiWinter,Unknown,94850.375,52901.5,41948.875,77.15458513,43.03191511,34.12267002
Ze2,0.266036,-0.0915193,-0.027305,0.0985268,0.169428,-0.250728,-0.0357923,0.100681,-0.0103194,-0.452973,0.613929,0.188133,-0.103182,0.339153,-0.112164,-0.227071,Moderate,WinterOil,good,78254.625,33333.75,44920.875,63.65502642,27.11482851,36.54019791
st1-45,-0.165171,0.416918,-0.0475579,-0.0273707,0.163467,-0.211325,0.34416,-0.25413,0.648431,-0.0858469,-0.0885958,-0.134954,0.0540181,0.09283,0.00198926,-0.275764,Moderate,SpringOil,Unknown,130520.625,64152.75,66367.875,106.1700038,52.18407214,53.98593165